Name,Field_id
"Religious Workers, All Other",5
Social and Human Service Assistants,5
"Social Workers, All Other",5
Substance Abuse and Behavioral Disorder,5
Actuaries,6
Biostatisticians,6
Business Intelligence Analysts,6
Clinical Data Managers,6
Computer and Information Research Scientists,6
Computer Network Architects,6
Computer Network Support Specialists,6
"Computer Occupations, All Other",6
Computer Programmers,6
Computer Systems Analysts,6
Computer Systems Engineers/Architects,6
Computer User Support Specialists,6
Data Warehousing Specialists,6
Database Administrators,6
Database Architects,6
Document Management Specialists,6
Geographic Information Systems Technicians,6
Geospatial Information Scientists and Technologists,6
Informatics Nurse Specialists,6
Information Security Analysts,6
Information Technology Project Managers,6
"Mathematical Science Occupations, All Other",6
Mathematical Technicians,6
Mathematicians,6
Network and Computer Systems Administrators,6
Operations Research Analysts,6
Search Marketing Strategists,6
"Software Developers, Applications",6
"Software Developers, Systems Software",6
Software Quality Assurance Engineers and Testers,6
Statisticians,6
Telecommunications Engineering Specialists,6
Video Game Designers,6
Web Administrators,6
Web Developers,6
Boilermakers,7
Brickmasons and Blockmasons,7
Carpenters,7
Carpet Installers,7
Cement Masons and Concrete Finishers,7
Construction and Building Inspectors,7
"Construction and Related Workers, All Other",7
Construction Carpenters,7
Construction Laborers,7
Continuous Mining Machine Operators,7
"Derrick Operators, Oil and Gas",7
Drywall and Ceiling Tile Installers,7
"Earth Drillers, Except Oil and Gas",7
Electricians,7
Elevator Installers and Repairers,7
"Explosives Workers, Ordnance Handling Experts, and Blasters",7
"Extraction Workers, All Other",7
Fence Erectors,7
First-Line Supervisors of Construction Trades and Extraction Workers,7
"Floor Layers, Except Carpet, Wood, and Hard Tiles",7
Floor Sanders and Finishers,7
Glaziers,7
Hazardous Materials Removal Workers,7
"Helpers, Construction Trades, All Other",7
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",7
Helpers--Carpenters,7
Helpers--Electricians,7
Helpers--Extraction Workers,7
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",7
Helpers--Roofers,7
Highway Maintenance Workers,7
"Insulation Workers, Floor, Ceiling, and Wall",7
"Insulation Workers, Mechanical",7
Mine Cutting and Channeling Machine Operators,7
"Mining Machine Operators, All Other",7
Operating Engineers and Other Construction Equipment Operators,7
"Painters, Construction and Maintenance",7
Paperhangers,7
"Paving, Surfacing, and Tamping Equipment Operators",7
Pile-Driver Operators,7
Pipe Fitters and Steamfitters,7
Pipelayers,7
Plasterers and Stucco Masons,7
Plumbers,7
"Plumbers, Pipefitters, and Steamfitters",7
Rail-Track Laying and Maintenance Equipment Operators,7
Reinforcing Iron and Rebar Workers,7
"Rock Splitters, Quarry",7
"Roof Bolters, Mining",7
Roofers,7
"Rotary Drill Operators, Oil and Gas",7
Rough Carpenters,7
"Roustabouts, Oil and Gas",7
Segmental Pavers,7
Septic Tank Servicers and Sewer Pipe Cleaners,7
"Service Unit Operators, Oil, Gas, and Mining",7
Sheet Metal Workers,7
Solar Energy Installation Managers,7
Solar Photovoltaic Installers,7
Solar Thermal Installers and Technicians,7
Stonemasons,7
Structural Iron and Steel Workers,7
Tapers,7
Terrazzo Workers and Finishers,7
Tile and Marble Setters,7
Weatherization Installers and Technicians,7
Adapted Physical Education Specialists,8
Adult Basic and Secondary Education and Literacy Teachers and Instructors,8
"Agricultural Sciences Teachers, Postsecondary",8
"Anthropology and Archeology Teachers, Postsecondary",8
"Architecture Teachers, Postsecondary",8
Archivists,8
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",8
"Art, Drama, and Music Teachers, Postsecondary",8
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",8
Audio-Visual and Multimedia Collections Specialists,8
"Biological Science Teachers, Postsecondary",8
"Business Teachers, Postsecondary",8
"Career/Technical Education Teachers, Middle School",8
"Career/Technical Education Teachers, Secondary School",8
"Chemistry Teachers, Postsecondary",8
"Communications Teachers, Postsecondary",8
"Computer Science Teachers, Postsecondary",8
"Criminal Justice and Law Enforcement Teachers, Postsecondary",8
Curators,8
"Economics Teachers, Postsecondary",8
"Education Teachers, Postsecondary",8
"Education, Training, and Library Workers, All Other",8
"Elementary School Teachers, Except Special Education",8
"Engineering Teachers, Postsecondary",8
"English Language and Literature Teachers, Postsecondary",8
"Environmental Science Teachers, Postsecondary",8
Farm and Home Management Advisors,8
"Foreign Language and Literature Teachers, Postsecondary",8
"Forestry and Conservation Science Teachers, Postsecondary",8
"Geography Teachers, Postsecondary",8
Graduate Teaching Assistants,8
"Health Specialties Teachers, Postsecondary",8
"History Teachers, Postsecondary",8
"Home Economics Teachers, Postsecondary",8
Instructional Coordinators,8
Instructional Designers and Technologists,8
"Kindergarten Teachers, Except Special Education",8
"Law Teachers, Postsecondary",8
Librarians,8
"Library Science Teachers, Postsecondary",8
Library Technicians,8
"Mathematical Science Teachers, Postsecondary",8
"Middle School Teachers, Except Special and Career/Technical Education",8
Museum Technicians and Conservators,8
"Nursing Instructors and Teachers, Postsecondary",8
"Philosophy and Religion Teachers, Postsecondary",8
"Physics Teachers, Postsecondary",8
"Political Science Teachers, Postsecondary",8
"Postsecondary Teachers, All Other",8
"Preschool Teachers, Except Special Education",8
"Psychology Teachers, Postsecondary",8
"Recreation and Fitness Studies Teachers, Postsecondary",8
"Secondary School Teachers, Except Special and Career/Technical Education",8
Self-Enrichment Education Teachers,8
"Social Sciences Teachers, Postsecondary, All Other",8
"Social Work Teachers, Postsecondary",8
"Sociology Teachers, Postsecondary",8
"Special Education Teachers, All Other",8
"Special Education Teachers, Kindergarten and Elementary School",8
"Special Education Teachers, Middle School",8
"Special Education Teachers, Preschool",8
"Special Education Teachers, Secondary School",8
Teacher Assistants,8
"Teachers and Instructors, All Other",8
Tutors,8
"Vocational Education Teachers, Postsecondary",8
Agricultural Equipment Operators,9
Agricultural Inspectors,9
"Agricultural Workers, All Other",9
Animal Breeders,9
Fallers,9
"Farmworkers and Laborers, Crop",9
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",9
"Farmworkers, Farm, Ranch, and Aquacultural Animals",9
First-Line Supervisors of Agricultural Crop and Horticultural Workers,9
First-Line Supervisors of Animal Husbandry and Animal Care Workers,9
First-Line Supervisors of Aquacultural Workers,9
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",9
First-Line Supervisors of Logging Workers,9
Fishers and Related Fishing Workers,9
Forest and Conservation Workers,9
"Graders and Sorters, Agricultural Products",9
Hunters and Trappers,9
Log Graders and Scalers,9
Logging Equipment Operators,9
"Logging Workers, All Other",9
Nursery Workers,9
Baristas,10
Bartenders,10
Chefs and Head Cooks,10
"Combined Food Preparation and Serving Workers, Including Fast Food",10
"Cooks, All Other",10
"Cooks, Fast Food",10
"Cooks, Institution and Cafeteria",10
"Cooks, Private Household",10
"Cooks, Restaurant",10
"Cooks, Short Order",10
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",10
Dining Room and Cafeteria Attendants and Bartender Helpers,10
Dishwashers,10
First-Line Supervisors of Food Preparation and Serving Workers,10
"Food Preparation and Serving Related Workers, All Other",10
Food Preparation Workers,10
"Food Servers, Nonrestaurant",10
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",10
Waiters and Waitresses,10
Acupuncturists,11
Acute Care Nurses,11
Advanced Practice Psychiatric Nurses,11
Allergists and Immunologists,11
Anesthesiologist Assistants,11
Anesthesiologists,11
Art Therapists,11
Athletic Trainers,11
Audiologists,11
Cardiovascular Technologists and Technicians,11
Chiropractors,11
Clinical Nurse Specialists,11
Critical Care Nurses,11
Cytogenetic Technologists,11
Cytotechnologists,11
Dental Hygienists,11
"Dentists, All Other Specialists",11
"Dentists, General",11
Dermatologists,11
Diagnostic Medical Sonographers,11
Dietetic Technicians,11
Dietitians and Nutritionists,11
Emergency Medical Technicians and Paramedics,11
Exercise Physiologists,11
Family and General Practitioners,11
Genetic Counselors,11
"Health Diagnosing and Treating Practitioners, All Other",11
"Health Technologists and Technicians, All Other",11
"Healthcare Practitioners and Technical Workers, All Other",11
Hearing Aid Specialists,11
Histotechnologists and Histologic Technicians,11
Hospitalists,11
"Internists, General",11
Licensed Practical and Licensed Vocational Nurses,11
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",11
Magnetic Resonance Imaging Technologists,11
Medical and Clinical Laboratory Technicians,11
Medical and Clinical Laboratory Technologists,11
Medical Records and Health Information Technicians,11
Midwives,11
Music Therapists,11
Naturopathic Physicians,11
Neurodiagnostic Technologists,11
Neurologists,11
Nuclear Medicine Physicians,11
Nuclear Medicine Technologists,11
Nurse Anesthetists,11
Nurse Midwives,11
Nurse Practitioners,11
Obstetricians and Gynecologists,11
Occupational Health and Safety Specialists,11
Occupational Health and Safety Technicians,11
Occupational Therapists,11
Ophthalmic Medical Technicians,11
Ophthalmic Medical Technologists,11
Ophthalmologists,11
"Opticians, Dispensing",11
Optometrists,11
Oral and Maxillofacial Surgeons,11
Orthodontists,11
Orthoptists,11
Orthotists and Prosthetists,11
Pathologists,11
"Pediatricians, General",11
Pharmacists,11
Pharmacy Technicians,11
Physical Medicine and Rehabilitation Physicians,11
Physical Therapists,11
Physician Assistants,11
"Physicians and Surgeons, All Other",11
Podiatrists,11
Preventive Medicine Physicians,11
Prosthodontists,11
Psychiatric Technicians,11
Psychiatrists,11
Radiation Therapists,11
Radiologic Technicians,11
Radiologic Technologists,11
Radiologists,11
Recreational Therapists,11
Registered Nurses,11
Respiratory Therapists,11
Respiratory Therapy Technicians,11
Speech-Language Pathologists,11
Sports Medicine Physicians,11
Surgeons,11
Surgical Assistants,11
Surgical Technologists,11
"Therapists, All Other",11
Urologists,11
Veterinarians,11
Veterinary Technologists and Technicians,11
Dental Assistants,11
Endoscopy Technicians,11
"Healthcare Support Workers, All Other",11
Home Health Aides,11
Massage Therapists,11
Medical Assistants,11
Medical Equipment Preparers,11
Medical Transcriptionists,11
Nursing Assistants,11
Occupational Therapy Aides,11
Occupational Therapy Assistants,11
Orderlies,11
Pharmacy Aides,11
Phlebotomists,11
Physical Therapist Aides,11
Physical Therapist Assistants,11
Psychiatric Aides,11
Speech-Language Pathology Assistants,11
Veterinary Assistants and Laboratory Animal Caretakers,11
Aircraft Mechanics and Service Technicians,12
Automotive Body and Related Repairers,12
Automotive Glass Installers and Repairers,12
Automotive Master Mechanics,12
Automotive Service Technicians and Mechanics,12
Automotive Specialty Technicians,12
Avionics Technicians,12
Bicycle Repairers,12
Bus and Truck Mechanics and Diesel Engine Specialists,12
Camera and Photographic Equipment Repairers,12
"Coin, Vending, and Amusement Machine Servicers and Repairers",12
Commercial Divers,12
"Computer, Automated Teller, and Office Machine Repairers",12
"Control and Valve Installers and Repairers, Except Mechanical Door",12
"Electric Motor, Power Tool, and Related Repairers",12
"Electrical and Electronics Installers and Repairers, Transportation Equipment",12
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",12
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",12
Electrical Power-Line Installers and Repairers,12
"Electronic Equipment Installers and Repairers, Motor Vehicles",12
Electronic Home Entertainment Equipment Installers and Repairers,12
"Fabric Menders, Except Garment",12
Farm Equipment Mechanics and Service Technicians,12
"First-Line Supervisors of Mechanics, Installers, and Repairers",12
Geothermal Technicians,12
Heating and Air Conditioning Mechanics and Installers,12
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",12
"Helpers--Installation, Maintenance, and Repair Workers",12
Home Appliance Repairers,12
Industrial Machinery Mechanics,12
"Installation, Maintenance, and Repair Workers, All Other",12
Locksmiths and Safe Repairers,12
"Maintenance and Repair Workers, General",12
"Maintenance Workers, Machinery",12
Manufactured Building and Mobile Home Installers,12
Mechanical Door Repairers,12
Medical Equipment Repairers,12
Millwrights,12
"Mobile Heavy Equipment Mechanics, Except Engines",12
Motorboat Mechanics and Service Technicians,12
Motorcycle Mechanics,12
Musical Instrument Repairers and Tuners,12
Outdoor Power Equipment and Other Small Engine Mechanics,12
"Precision Instrument and Equipment Repairers, All Other",12
Radio Mechanics,12
"Radio, Cellular, and Tower Equipment Installers and Repairers",12
Rail Car Repairers,12
Recreational Vehicle Service Technicians,12
"Refractory Materials Repairers, Except Brickmasons",12
Refrigeration Mechanics and Installers,12
Riggers,12
Security and Fire Alarm Systems Installers,12
Signal and Track Switch Repairers,12
"Telecommunications Equipment Installers and Repairers, Except Line Installers",12
Telecommunications Line Installers and Repairers,12
Tire Repairers and Changers,12
Watch Repairers,12
Wind Turbine Service Technicians,12
"Administrative Law Judges, Adjudicators, and Hearing Officers",13
"Arbitrators, Mediators, and Conciliators",13
Court Reporters,13
"Judges, Magistrate Judges, and Magistrates",13
Judicial Law Clerks,13
Lawyers,13
"Legal Support Workers, All Other",13
Paralegals and Legal Assistants,13
"Title Examiners, Abstractors, and Searchers",13
Agricultural and Food Science Technicians,14
Agricultural Technicians,14
Animal Scientists,14
Anthropologists,14
Anthropologists and Archeologists,14
Archeologists,14
Astronomers,14
Atmospheric and Space Scientists,14
Biochemists and Biophysicists,14
Bioinformatics Scientists,14
"Biological Scientists, All Other",14
Biological Technicians,14
Biologists,14
Chemical Technicians,14
Chemists,14
City and Regional Planning Aides,14
Climate Change Analysts,14
Clinical Psychologists,14
"Clinical, Counseling, and School Psychologists",14
Conservation Scientists,14
Counseling Psychologists,14
Economists,14
Environmental Economists,14
Environmental Restoration Planners,14
"Environmental Science and Protection Technicians, Including Health",14
"Environmental Scientists and Specialists, Including Health",14
Epidemiologists,14
Food Science Technicians,14
Food Scientists and Technologists,14
Forensic Science Technicians,14
Forest and Conservation Technicians,14
Foresters,14
Geneticists,14
Geographers,14
Geological and Petroleum Technicians,14
Geological Sample Test Technicians,14
Geophysical Data Technicians,14
"Geoscientists, Except Hydrologists and Geographers",14
Historians,14
Hydrologists,14
Industrial Ecologists,14
Industrial-Organizational Psychologists,14
"Life Scientists, All Other",14
"Life, Physical, and Social Science Technicians, All Other",14
Materials Scientists,14
"Medical Scientists, Except Epidemiologists",14
Microbiologists,14
Molecular and Cellular Biologists,14
Neuropsychologists and Clinical Neuropsychologists,14
Nuclear Equipment Operation Technicians,14
Nuclear Monitoring Technicians,14
Nuclear Technicians,14
Park Naturalists,14
"Physical Scientists, All Other",14
Physicists,14
Political Scientists,14
Precision Agriculture Technicians,14
"Psychologists, All Other",14
Quality Control Analysts,14
Range Managers,14
Remote Sensing Scientists and Technologists,14
Remote Sensing Technicians,14
School Psychologists,14
Social Science Research Assistants,14
"Social Scientists and Related Workers, All Other",14
Sociologists,14
Soil and Plant Scientists,14
Soil and Water Conservationists,14
Survey Researchers,14
Transportation Planners,14
Urban and Regional Planners,14
Zoologists and Wildlife Biologists,14
Administrative Services Managers,15
Advertising and Promotions Managers,15
Aquacultural Managers,15
Architectural and Engineering Managers,15
Biofuels Production Managers,15
Biofuels/Biodiesel Technology and Product Development Managers,15
Biomass Power Plant Managers,15
Brownfield Redevelopment Specialists and Site Managers,15
Chief Executives,15
Chief Sustainability Officers,15
Clinical Research Coordinators,15
Compensation and Benefits Managers,15
Compliance Managers,15
Computer and Information Systems Managers,15
Construction Managers,15
Distance Learning Coordinators,15
"Education Administrators, All Other",15
"Education Administrators, Elementary and Secondary School",15
"Education Administrators, Postsecondary",15
"Education Administrators, Preschool and Childcare Center/Program",15
Emergency Management Directors,15
Farm and Ranch Managers,15
"Farmers, Ranchers, and Other Agricultural Managers",15
Financial Managers,15
"Financial Managers, Branch or Department",15
Fitness and Wellness Coordinators,15
Food Service Managers,15
Funeral Service Managers,15
Gaming Managers,15
General and Operations Managers,15
Geothermal Production Managers,15
Green Marketers,15
Human Resources Managers,15
Hydroelectric Production Managers,15
Industrial Production Managers,15
Investment Fund Managers,15
Legislators,15
Lodging Managers,15
Logistics Managers,15
Loss Prevention Managers,15
"Managers, All Other",15
Marketing Managers,15
Medical and Health Services Managers,15
Methane/Landfill Gas Collection System Operators,15
Natural Sciences Managers,15
Nursery and Greenhouse Managers,15
Postmasters and Mail Superintendents,15
"Property, Real Estate, and Community Association Managers",15
Public Relations and Fundraising Managers,15
Purchasing Managers,15
Quality Control Systems Managers,15
Regulatory Affairs Managers,15
Sales Managers,15
Security Managers,15
Social and Community Service Managers,15
Storage and Distribution Managers,15
Supply Chain Managers,15
Training and Development Managers,15
Transportation Managers,15
"Transportation, Storage, and Distribution Managers",15
Treasurers and Controllers,15
Water Resource Specialists,15
Wind Energy Operations Managers,15
Wind Energy Project Managers,15
Bill and Account Collectors,16
Billing and Posting Clerks,16
"Billing, Cost, and Rate Clerks",16
Bioinformatics Technicians,16
"Bookkeeping, Accounting, and Auditing Clerks",16
Brokerage Clerks,16
Cargo and Freight Agents,16
"Communications Equipment Operators, All Other",16
Computer Operators,16
Correspondence Clerks,16
Couriers and Messengers,16
Court Clerks,16
"Court, Municipal, and License Clerks",16
Credit Authorizers,16
"Credit Authorizers, Checkers, and Clerks",16
Credit Checkers,16
Customer Service Representatives,16
Data Entry Keyers,16
Desktop Publishers,16
"Dispatchers, Except Police, Fire, and Ambulance",16
"Eligibility Interviewers, Government Programs",16
Executive Secretaries and Executive Administrative Assistants,16
File Clerks,16
"Financial Clerks, All Other",16
First-Line Supervisors of Office and Administrative Support Workers,16
Freight Forwarders,16
Gaming Cage Workers,16
"Hotel, Motel, and Resort Desk Clerks",16
"Human Resources Assistants, Except Payroll and Timekeeping",16
"Information and Record Clerks, All Other",16
Insurance Claims and Policy Processing Clerks,16
Insurance Claims Clerks,16
Insurance Policy Processing Clerks,16
"Interviewers, Except Eligibility and Loan",16
Legal Secretaries,16
"Library Assistants, Clerical",16
License Clerks,16
Loan Interviewers and Clerks,16
"Mail Clerks and Mail Machine Operators, Except Postal Service",16
Marking Clerks,16
Medical Secretaries,16
"Meter Readers, Utilities",16
Municipal Clerks,16
New Accounts Clerks,16
"Office and Administrative Support Workers, All Other",16
"Office Clerks, General",16
"Office Machine Operators, Except Computer",16
Order Clerks,16
"Order Fillers, Wholesale and Retail Sales",16
Patient Representatives,16
Payroll and Timekeeping Clerks,16
"Police, Fire, and Ambulance Dispatchers",16
Postal Service Clerks,16
Postal Service Mail Carriers,16
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",16
Procurement Clerks,16
"Production, Planning, and Expediting Clerks",16
Proofreaders and Copy Markers,16
Receptionists and Information Clerks,16
Reservation and Transportation Ticket Agents and Travel Clerks,16
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",16
"Shipping, Receiving, and Traffic Clerks",16
Statement Clerks,16
Statistical Assistants,16
Stock Clerks and Order Fillers,16
"Stock Clerks, Sales Floor",16
"Stock Clerks- Stockroom, Warehouse, or Storage Yard",16
"Switchboard Operators, Including Answering Service",16
Telephone Operators,16
Tellers,16
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",16
Word Processors and Typists,16
Amusement and Recreation Attendants,17
Animal Trainers,17
Baggage Porters and Bellhops,17
Barbers,17
Childcare Workers,17
Concierges,17
Costume Attendants,17
Embalmers,17
"Entertainment Attendants and Related Workers, All Other",17
First-Line Supervisors of Personal Service Workers,17
Fitness Trainers and Aerobics Instructors,17
Funeral Attendants,17
Gaming and Sports Book Writers and Runners,17
Gaming Dealers,17
"Gaming Service Workers, All Other",17
Gaming Supervisors,17
"Hairdressers, Hairstylists, and Cosmetologists",17
"Locker Room, Coatroom, and Dressing Room Attendants",17
"Makeup Artists, Theatrical and Performance",17
Manicurists and Pedicurists,17
"Morticians, Undertakers, and Funeral Directors",17
Motion Picture Projectionists,17
Nannies,17
Nonfarm Animal Caretakers,17
Personal Care Aides,17
"Personal Care and Service Workers, All Other",17
Recreation Workers,17
Residential Advisors,17
Shampooers,17
Skincare Specialists,17
Slot Supervisors,17
Spa Managers,17
Tour Guides and Escorts,17
Travel Guides,17
"Ushers, Lobby Attendants, and Ticket Takers",17
Adhesive Bonding Machine Operators and Tenders,18
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",18
"Assemblers and Fabricators, All Other",18
Bakers,18
Biofuels Processing Technicians,18
Biomass Plant Technicians,18
Butchers and Meat Cutters,18
Cabinetmakers and Bench Carpenters,18
Chemical Equipment Operators and Tenders,18
Chemical Plant and System Operators,18
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",18
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",18
"Coil Winders, Tapers, and Finishers",18
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",18
"Computer-Controlled Machine Tool Operators, Metal and Plastic",18
Cooling and Freezing Equipment Operators and Tenders,18
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",18
"Cutters and Trimmers, Hand",18
"Cutting and Slicing Machine Setters, Operators, and Tenders",18
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",18
Dental Laboratory Technicians,18
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",18
Electrical and Electronic Equipment Assemblers,18
Electromechanical Equipment Assemblers,18
Engine and Other Machine Assemblers,18
Etchers and Engravers,18
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",18
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",18
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",18
Fabric and Apparel Patternmakers,18
Fiberglass Laminators and Fabricators,18
First-Line Supervisors of Production and Operating Workers,18
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",18
Food Batchmakers,18
Food Cooking Machine Operators and Tenders,18
"Food Processing Workers, All Other",18
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",18
